Quartile,Coefficient,SE,P-value,N
Q1,2.034966720165777,2.8009606081102287,0.46751724666534356,162
Q2,-0.9750290758900347,1.2395711676303798,0.4315243757450261,162
Q3,-0.7188105728874931,1.970306828369633,0.7152445487463326,162
Q4,1.2445051158633684,1.368805191877695,0.3632494086710961,162
